Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Amount_in_Excess__c,Auction_Notice_Status__c,Daily_DPD__c,Demand_Notice_Status__c,Issue_Date__c,Loan_Id_Ext__c,Loan_Number__c,Possession_Notice_Status__c,Sarfaeci_Action_Initiated__c
a0CFf00000JZX9bMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9b,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,2023-05-19T08:31:35.000Z,2023-05-19T08:31:35.000Z,0.00,,0.0,Y,,HOU/DEL/0223/00166,a00Ff000003QOtjIAG,,F
a0CFf00000JZX9cMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9c,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00049,a00Ff000003QSOlIAO,,F
a0CFf00000JZX9dMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9d,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00649,a00Ff000003QPLcIAO,,F
a0CFf00000JZX9eMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9e,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00690,a00Ff000003QWFlIAO,,P
a0CFf00000JZX9fMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9f,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,52.0,Y,,HOU/DEL/0223/00596,a00Ff000003QPKlIAO,,F
a0CFf00000JZX9gMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9g,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,351.0,Y,,HOU/DEL/0223/00046,a00Ff000003QSGfIAO,,F
a0CFf00000JZX9hMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9h,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00048,a00Ff000003QSOkIAO,,F
a0CFf00000JZX9iMAH,005Ff000001F2fFIAS,false,a0CFf00000JZX9i,2023-05-19T08:28:15.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00053,a00Ff000003QSOpIAO,,P
a0CFf00000JZXe8MAH,005Ff000001F2fFIAS,false,a0CFf00000JZXe8,2023-05-19T08:30:58.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00003,a00Ff0000035JJdIAM,Y,P
a0CFf00000JZXe9MAH,005Ff000001F2fFIAS,false,a0CFf00000JZXe9,2023-05-19T08:30:58.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,193.0,Y,,HOU/DEL/0223/00602,a00Ff000003QPKrIAO,Y,P
a0CFf00000JZXeAMAX,005Ff000001F2fFIAS,false,a0CFf00000JZXeA,2023-05-19T08:30:58.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,005Ff000001F2fFIAS,2023-05-19T08:35:03.000Z,,,0.00,,0.0,Y,,HOU/DEL/0223/00069,a00Ff000003QSP5IAO,Y,P
