Id,OwnerId,Name,Effective_From__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0EFf0000005pLFMAY,005Ff000001F2fFIAS,a0EFf0000005pLF,2016-07-31,a00Ff000003QOt6IAG,HOU/DEL/0223/00127,YES
a0EFf0000005pLGMAY,005Ff000001F2fFIAS,a0EFf0000005pLG,2022-12-31,a00Ff000003X7E8IAK,HOU/DEL/0223/03218,YES
a0EFf0000005pLHMAY,005Ff000001F2fFIAS,a0EFf0000005pLH,2022-12-31,a00Ff000003X7EQIA0,HOU/DEL/0223/03236,YES
a0EFf0000005pLIMAY,005Ff000001F2fFIAS,a0EFf0000005pLI,2022-12-31,a00Ff000003QSOnIAO,HOU/DEL/0223/00051,YES
a0EFf0000005pLJMAY,005Ff000001F2fFIAS,a0EFf0000005pLJ,2022-12-31,a00Ff000003X799IAC,HOU/DEL/0223/02810,YES
a0EFf0000005pLKMAY,005Ff000001F2fFIAS,a0EFf0000005pLK,2022-12-31,a00Ff000003X7EpIAK,HOU/DEL/0223/03261,YES
a0EFf0000005pLLMAY,005Ff000001F2fFIAS,a0EFf0000005pLL,2022-12-31,a00Ff000003X6vXIAS,HOU/DEL/0223/02266,YES
a0EFf0000005pLMMAY,005Ff000001F2fFIAS,a0EFf0000005pLM,2022-12-31,a00Ff000003X76iIAC,HOU/DEL/0223/03158,YES
a0EFf0000005pLNMAY,005Ff000001F2fFIAS,a0EFf0000005pLN,2022-12-31,a00Ff000003X6uXIAS,HOU/DEL/0223/02204,YES
a0EFf0000005pLOMAY,005Ff000001F2fFIAS,a0EFf0000005pLO,2022-12-31,a00Ff000003QSOwIAO,HOU/DEL/0223/00060,YES
a0EFf0000005pLPMAY,005Ff000001F2fFIAS,a0EFf0000005pLP,2022-12-31,a00Ff000003X6SNIA0,HOU/DEL/0223/01260,YES
a0EFf0000005pLQMAY,005Ff000001F2fFIAS,a0EFf0000005pLQ,2022-12-31,a00Ff000003X6SOIA0,HOU/DEL/0223/01261,YES
a0EFf0000005pLRMAY,005Ff000001F2fFIAS,a0EFf0000005pLR,2022-12-31,a00Ff000003X7BbIAK,HOU/DEL/0223/02962,YES
a0EFf0000005pLSMAY,005Ff000001F2fFIAS,a0EFf0000005pLS,2022-12-31,a00Ff000003QPL4IAO,HOU/DEL/0223/00615,YES
a0EFf0000005pLTMAY,005Ff000001F2fFIAS,a0EFf0000005pLT,2022-12-31,a00Ff000003X7CGIA0,HOU/DEL/0223/03003,YES
a0EFf0000005pLUMAY,005Ff000001F2fFIAS,a0EFf0000005pLU,2022-12-31,a00Ff000003X6RFIA0,HOU/DEL/0223/01190,YES
a0EFf0000005pLVMAY,005Ff000001F2fFIAS,a0EFf0000005pLV,2022-12-31,a00Ff000003X6tIIAS,HOU/DEL/0223/02127,YES
a0EFf0000005pLWMAY,005Ff000001F2fFIAS,a0EFf0000005pLW,2022-12-31,a00Ff000003X6SuIAK,HOU/DEL/0223/01293,YES
a0EFf0000005pLXMAY,005Ff000001F2fFIAS,a0EFf0000005pLX,2022-12-31,a00Ff000003X6uTIAS,HOU/DEL/0223/02200,YES
a0EFf0000005pLYMAY,005Ff000001F2fFIAS,a0EFf0000005pLY,2022-12-31,a00Ff000003X7CVIA0,HOU/DEL/0223/03018,YES
a0EFf0000005pLZMAY,005Ff000001F2fFIAS,a0EFf0000005pLZ,2022-12-31,a00Ff000003X7AmIAK,HOU/DEL/0223/02911,YES
a0EFf0000005pLaMAI,005Ff000001F2fFIAS,a0EFf0000005pLa,2022-12-31,a00Ff000003QSP0IAO,HOU/DEL/0223/00064,YES
a0EFf0000005pLbMAI,005Ff000001F2fFIAS,a0EFf0000005pLb,2022-12-31,a00Ff000003X79zIAC,HOU/DEL/0223/02862,YES
a0EFf0000005pLcMAI,005Ff000001F2fFIAS,a0EFf0000005pLc,2022-12-31,a00Ff000003QSOtIAO,HOU/DEL/0223/00057,YES
a0EFf0000005pLdMAI,005Ff000001F2fFIAS,a0EFf0000005pLd,2022-12-31,a00Ff000003X6RbIAK,HOU/DEL/0223/01212,YES
a0EFf0000005pLeMAI,005Ff000001F2fFIAS,a0EFf0000005pLe,2022-12-31,a00Ff000003X770IAC,HOU/DEL/0223/03176,YES
a0EFf0000005pLfMAI,005Ff000001F2fFIAS,a0EFf0000005pLf,2022-12-31,a00Ff000003X6trIAC,HOU/DEL/0223/02162,YES
a0EFf0000005pLgMAI,005Ff000001F2fFIAS,a0EFf0000005pLg,2022-12-31,a00Ff000003X6tyIAC,HOU/DEL/0223/02169,YES
a0EFf0000005pLhMAI,005Ff000001F2fFIAS,a0EFf0000005pLh,2022-12-31,a00Ff000003QWFWIA4,HOU/DEL/0223/00675,YES
a0EFf0000005pLiMAI,005Ff000001F2fFIAS,a0EFf0000005pLi,2022-12-31,a00Ff000003QWFfIAO,HOU/DEL/0223/00684,YES
a0EFf0000005pLjMAI,005Ff000001F2fFIAS,a0EFf0000005pLj,2022-12-31,a00Ff000003QSVkIAO,HOU/DEL/0223/00255,YES
a0EFf0000005pLkMAI,005Ff000001F2fFIAS,a0EFf0000005pLk,2022-12-31,a00Ff000003X7APIA0,HOU/DEL/0223/02888,YES
a0EFf0000005pLlMAI,005Ff000001F2fFIAS,a0EFf0000005pLl,2022-12-31,a00Ff000003X76zIAC,HOU/DEL/0223/03175,YES
a0EFf0000005pLmMAI,005Ff000001F2fFIAS,a0EFf0000005pLm,2022-12-31,a00Ff000003X6tDIAS,HOU/DEL/0223/02122,YES
a0EFf0000005pLnMAI,005Ff000001F2fFIAS,a0EFf0000005pLn,2022-12-31,a00Ff000003QSVxIAO,HOU/DEL/0223/00268,YES
