Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Balance_Tenure__c,Event__c,Loan_Id_Ext__c,Loan_Number__c,New_Int_Rate_Type__c,New_ROI__c,Old_Int_Rate_Type__c,Old_ROI__c,Rev_Date__c,Tal_migrated__c
"a0GFf0000009TcHMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcH","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","11.5","Floating Rate","10.75","2007-04-01","Yes"
"a0GFf0000009TcIMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcI","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","12.5","Floating Rate","11.5","2007-05-02","Yes"
"a0GFf0000009TcJMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcJ","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.0","Floating Rate","12.5","2008-07-22","Yes"
"a0GFf0000009TcKMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcK","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.75","Floating Rate","13.0","2008-08-01","Yes"
"a0GFf0000009TcLMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcL","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.0","Floating Rate","13.75","2009-01-01","Yes"
"a0GFf0000009TcMMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcM","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","12.75","Floating Rate","13.0","2009-05-01","Yes"
"a0GFf0000009TcNMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcN","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.25","Floating Rate","12.75","2011-01-01","Yes"
"a0GFf0000009TcOMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcO","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.5","Floating Rate","13.25","2011-04-01","Yes"
"a0GFf0000009TcPMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcP","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","13.75","Floating Rate","13.5","2011-06-01","Yes"
"a0GFf0000009TcQMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcQ","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00679","a00Ff000003QWFaIAO","Floating Rate","14.25","Floating Rate","13.75","2011-08-01","Yes"
"a0GFf0000009TcRMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcR","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","11.5","Floating Rate","10.75","2007-04-01","Yes"
"a0GFf0000009TcSMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","12.5","Floating Rate","11.5","2007-05-02","Yes"
"a0GFf0000009TcTMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcT","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.0","Floating Rate","12.5","2008-07-22","Yes"
"a0GFf0000009TcUMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcU","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.75","Floating Rate","13.0","2008-08-01","Yes"
"a0GFf0000009TcVMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcV","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.0","Floating Rate","13.75","2009-01-01","Yes"
"a0GFf0000009TcWMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcW","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","12.75","Floating Rate","13.0","2009-05-01","Yes"
"a0GFf0000009TcXMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcX","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.25","Floating Rate","12.75","2011-01-01","Yes"
"a0GFf0000009TcYMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcY","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.5","Floating Rate","13.25","2011-04-01","Yes"
"a0GFf0000009TcZMAU","005Ff000001F2fFIAS","false","a0GFf0000009TcZ","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","13.75","Floating Rate","13.5","2011-06-01","Yes"
"a0GFf0000009TcaMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tca","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00692","a00Ff000003QWFnIAO","Floating Rate","14.25","Floating Rate","13.75","2011-08-01","Yes"
"a0GFf0000009TcbMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tcb","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.0","Floating Rate","12.5","2008-07-22","Yes"
"a0GFf0000009TccMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tcc","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.75","Floating Rate","13.0","2008-08-01","Yes"
"a0GFf0000009TcdMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tcd","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.0","Floating Rate","13.75","2009-01-01","Yes"
"a0GFf0000009TceMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tce","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","12.75","Floating Rate","13.0","2009-05-01","Yes"
"a0GFf0000009TcfMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tcf","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.25","Floating Rate","12.75","2011-01-01","Yes"
"a0GFf0000009TcgMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tcg","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.5","Floating Rate","13.25","2011-04-01","Yes"
"a0GFf0000009TchMAE","005Ff000001F2fFIAS","false","a0GFf0000009Tch","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","005Ff000001F2fFIAS","2023-05-20T09:15:32.000Z","","","","FLOAT","HOU/DEL/0223/00691","a00Ff000003QWFmIAO","Floating Rate","13.75","Floating Rate","13.5","2011-06-01","Yes"
