Id,OwnerId,Name,NPA_Conversion_date__c,Last_Unpaid_Date__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0HFf00000058WPMAY,005Ff000001F2fFIAS,a0HFf00000058WP,2020-08-31,2020-03-31,a00Ff000003QOt2IAG,HOU/DEL/0223/00123,YES
a0HFf00000058Y1MAI,005Ff000001F2fFIAS,a0HFf00000058Y1,2014-12-31,,a00Ff000003QPKWIA4,HOU/DEL/0223/00581,YES
a0HFf00000058Y2MAI,005Ff000001F2fFIAS,a0HFf00000058Y2,2021-12-31,2021-10-10,a00Ff000003QPKlIAO,HOU/DEL/0223/00596,YES
a0HFf00000058Y3MAI,005Ff000001F2fFIAS,a0HFf00000058Y3,2021-10-31,2021-07-10,a00Ff000003QPKlIAO,HOU/DEL/0223/00596,YES
a0HFf00000058Y4MAI,005Ff000001F2fFIAS,a0HFf00000058Y4,2018-09-30,2018-03-31,a00Ff000003QPKrIAO,HOU/DEL/0223/00602,YES
a0HFf00000058Y5MAI,005Ff000001F2fFIAS,a0HFf00000058Y5,2023-01-18,2022-10-20,a00Ff000003QPKrIAO,HOU/DEL/0223/00602,YES
a0HFf00000058Y6MAI,005Ff000001F2fFIAS,a0HFf00000058Y6,2021-03-31,2020-01-15,a00Ff000003QSGfIAO,HOU/DEL/0223/00046,YES
a0HFf00000058Y7MAI,005Ff000001F2fFIAS,a0HFf00000058Y7,2022-08-14,2022-05-15,a00Ff000003QSGfIAO,HOU/DEL/0223/00046,YES
a0HFf00000058Y8MAI,005Ff000001F2fFIAS,a0HFf00000058Y8,2017-04-30,2017-01-15,a00Ff000003QOtRIAW,HOU/DEL/0223/00148,YES
a0HFf00000058Y9MAI,005Ff000001F2fFIAS,a0HFf00000058Y9,2018-05-31,2018-02-15,a00Ff000003QOtRIAW,HOU/DEL/0223/00148,YES
a0HFf00000058YAMAY,005Ff000001F2fFIAS,a0HFf00000058YA,2022-06-09,2022-03-10,a00Ff000003QSOlIAO,HOU/DEL/0223/00049,YES
a0HFf00000058YBMAY,005Ff000001F2fFIAS,a0HFf00000058YB,2022-06-09,2022-03-10,a00Ff000003QSOkIAO,HOU/DEL/0223/00048,YES
a0HFf00000058YCMAY,005Ff000001F2fFIAS,a0HFf00000058YC,2016-10-31,,a00Ff000003QSOpIAO,HOU/DEL/0223/00053,YES
a0HFf00000058YDMAY,005Ff000001F2fFIAS,a0HFf00000058YD,2015-05-31,,a00Ff000003QPKjIAO,HOU/DEL/0223/00594,YES
a0HFf00000058YEMAY,005Ff000001F2fFIAS,a0HFf00000058YE,2019-05-31,2019-01-31,a00Ff000003QOtjIAG,HOU/DEL/0223/00166,YES
a0HFf00000058YFMAY,005Ff000001F2fFIAS,a0HFf00000058YF,2019-04-30,2019-01-10,a00Ff0000035JJdIAM,HOU/DEL/0223/00003,YES
a0HFf00000058YGMAY,005Ff000001F2fFIAS,a0HFf00000058YG,2019-07-31,2019-04-10,a00Ff0000035JJdIAM,HOU/DEL/0223/00003,YES
a0HFf00000058YHMAY,005Ff000001F2fFIAS,a0HFf00000058YH,2019-01-31,2018-10-10,a00Ff000003QOuLIAW,HOU/DEL/0223/00204,YES
a0HFf00000058YIMAY,005Ff000001F2fFIAS,a0HFf00000058YI,2017-09-30,2017-06-10,a00Ff000003QSP5IAO,HOU/DEL/0223/00069,YES
a0HFf00000058YJMAY,005Ff000001F2fFIAS,a0HFf00000058YJ,2017-02-28,,a00Ff000003QPKzIAO,HOU/DEL/0223/00610,YES
a0HFf00000058YKMAY,005Ff000001F2fFIAS,a0HFf00000058YK,2018-10-31,2018-07-10,a00Ff000003QPLcIAO,HOU/DEL/0223/00649,YES
a0HFf00000058g5MAA,005Ff000001F2fFIAS,a0HFf00000058g5,2018-07-31,2018-03-31,a00Ff000003QWFlIAO,HOU/DEL/0223/00690,YES
a0HFf00000058g6MAA,005Ff000001F2fFIAS,a0HFf00000058g6,2021-05-31,2021-02-10,a00Ff000003QWFlIAO,HOU/DEL/0223/00690,YES
a0HFf00000058g7MAA,005Ff000001F2fFIAS,a0HFf00000058g7,2015-05-31,,a00Ff000003QWFpIAO,HOU/DEL/0223/00694,YES
a0HFf0000005H1pMAE,005Ff000001F2fFIAS,a0HFf0000005H1p,2017-02-28,,a00Ff000003X6QNIA0,HOU/DEL/0223/01136,YES
a0HFf0000005H1qMAE,005Ff000001F2fFIAS,a0HFf0000005H1q,2017-04-30,2016-10-31,a00Ff000003X6QNIA0,HOU/DEL/0223/01136,YES
a0HFf0000005H1rMAE,005Ff000001F2fFIAS,a0HFf0000005H1r,2017-09-30,2017-05-31,a00Ff000003X6QNIA0,HOU/DEL/0223/01136,YES
a0HFf0000005H1sMAE,005Ff000001F2fFIAS,a0HFf0000005H1s,2021-05-31,2021-02-10,a00Ff000003X6RUIA0,HOU/DEL/0223/01205,YES
a0HFf0000005H1tMAE,005Ff000001F2fFIAS,a0HFf0000005H1t,2017-04-30,2016-10-31,a00Ff000003X6SbIAK,HOU/DEL/0223/01274,YES
a0HFf0000005H1uMAE,005Ff000001F2fFIAS,a0HFf0000005H1u,2017-08-31,2016-11-30,a00Ff000003X6SbIAK,HOU/DEL/0223/01274,YES
a0HFf0000005H1vMAE,005Ff000001F2fFIAS,a0HFf0000005H1v,2018-04-30,2017-12-31,a00Ff000003X6SbIAK,HOU/DEL/0223/01274,YES
a0HFf0000005H1wMAE,005Ff000001F2fFIAS,a0HFf0000005H1w,2021-05-31,2021-02-20,a00Ff000003X6R1IAK,HOU/DEL/0223/01176,YES
a0HFf0000005H1xMAE,005Ff000001F2fFIAS,a0HFf0000005H1x,2018-04-30,2017-12-31,a00Ff000003X6SOIA0,HOU/DEL/0223/01261,YES
a0HFf0000005H1yMAE,005Ff000001F2fFIAS,a0HFf0000005H1y,2015-05-31,,a00Ff000003X6QpIAK,HOU/DEL/0223/01164,YES
a0HFf0000005H1zMAE,005Ff000001F2fFIAS,a0HFf0000005H1z,2017-09-30,2017-05-31,a00Ff000003X6R7IAK,HOU/DEL/0223/01182,YES
a0HFf0000005H20MAE,005Ff000001F2fFIAS,a0HFf0000005H20,2016-05-31,,a00Ff000003X6SkIAK,HOU/DEL/0223/01283,YES
a0HFf0000005H21MAE,005Ff000001F2fFIAS,a0HFf0000005H21,2016-05-31,,a00Ff000003X6SkIAK,HOU/DEL/0223/01283,YES
a0HFf0000005H22MAE,005Ff000001F2fFIAS,a0HFf0000005H22,2018-05-31,2018-01-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H23MAE,005Ff000001F2fFIAS,a0HFf0000005H23,2018-07-31,2018-03-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H24MAE,005Ff000001F2fFIAS,a0HFf0000005H24,2018-09-30,2018-05-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H25MAE,005Ff000001F2fFIAS,a0HFf0000005H25,2021-03-31,2020-01-15,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H26MAE,005Ff000001F2fFIAS,a0HFf0000005H26,2021-08-31,2021-05-15,a00Ff000003X6SyIAK,HOU/DEL/0223/01297,YES
a0HFf0000005H27MAE,005Ff000001F2fFIAS,a0HFf0000005H27,2022-03-31,2022-04-15,a00Ff000003X6SyIAK,HOU/DEL/0223/01297,YES
a0HFf0000005H28MAE,005Ff000001F2fFIAS,a0HFf0000005H28,2017-06-30,2017-02-28,a00Ff000003X6tfIAC,HOU/DEL/0223/02150,YES
a0HFf0000005H29MAE,005Ff000001F2fFIAS,a0HFf0000005H29,2017-05-31,2017-01-31,a00Ff000003X6tWIAS,HOU/DEL/0223/02141,YES
a0HFf0000005H2AMAU,005Ff000001F2fFIAS,a0HFf0000005H2A,2018-01-31,2017-09-30,a00Ff000003X6tWIAS,HOU/DEL/0223/02141,YES
a0HFf0000005H3RMAU,005Ff000001F2fFIAS,a0HFf0000005H3R,2021-03-31,2020-11-10,a00Ff000003X6uHIAS,HOU/DEL/0223/02188,YES
a0HFf0000005H3SMAU,005Ff000001F2fFIAS,a0HFf0000005H3S,2017-06-30,2017-02-28,a00Ff000003X6ScIAK,HOU/DEL/0223/01275,YES
