Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Balance_Amount__c,Balance_Tax__c,Due_Amount__c,Due_Date__c,Due_Type__c,Loan_Id_Ext__c,Loan_Number__c,Paid_Amount__c,Paid__c,Tax_Paid__c,Waived_Amount__c
"a0AFf0000005O3JMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3J","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","2023-05-18T11:31:54.000Z","2023-05-18T11:31:54.000Z","0.00","0.00","4001.00","2014-12-26","Bounce Charges","HOU/DEL/0223/00578","a00Ff000003QPKTIA4","4001.00","true","495.00","0.00"
"a0AFf0000005O3KMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3K","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","500.00","2013-12-13","Bounce Charges","HOU/DEL/0223/00587","a00Ff000003QPKcIAO","500.00","true","62.00","0.00"
"a0AFf0000005O3LMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3L","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","500.00","2014-11-14","Bounce Charges","HOU/DEL/0223/00598","a00Ff000003QPKnIAO","500.00","true","70.00","0.00"
"a0AFf0000005O3MMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3M","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","500.00","2014-03-13","Bounce Charges","HOU/DEL/0223/00582","a00Ff000003QPKXIA4","499.00","true","73.00","1.00"
"a0AFf0000005O3NMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3N","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","1501.00","2013-11-30","Bounce Charges","HOU/DEL/0223/00585","a00Ff000003QPKaIAO","0.00","true","0.00","1501.00"
"a0AFf0000005O3OMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3O","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","2729.95","2014-12-31","Overdue Charges","HOU/DEL/0223/00586","a00Ff000003QPKbIAO","2729.95","true","0.00","0.00"
"a0AFf0000005O3PMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3P","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","800.00","2014-07-09","Bounce Charges","HOU/DEL/0223/00676","a00Ff000003QWFXIA4","800.00","true","102.00","0.00"
"a0AFf0000005O3QMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3Q","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","800.00","2014-07-09","Bounce Charges","HOU/DEL/0223/00675","a00Ff000003QWFWIA4","800.00","true","105.00","0.00"
"a0AFf0000005O3RMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3R","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","500.00","2013-03-22","Bounce Charges","HOU/DEL/0223/00678","a00Ff000003QWFZIA4","500.00","true","89.98","0.00"
"a0AFf0000005O3SMAU","005Ff000001F2fFIAS","false","a0AFf0000005O3S","2023-05-18T11:24:30.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","005Ff000001F2fFIAS","2023-05-18T11:31:50.000Z","","","0.00","0.00","1501.00","2014-06-25","Bounce Charges","HOU/DEL/0223/00690","a00Ff000003QWFlIAO","1501.00","true","203.44","0.00"
