Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,APF_Non_APF__c,Address__c,Asset_Description__c,Asset_Type__c,Loan_Id_Ext__c,Loan_Number__c,Market_Value__c,Property_City__c,Property_Type__c,Property_Value__c
"a04Ff0000008lkvIAA","005Ff000001F2fFIAS","false","a04Ff0000008lkv","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00672","a00Ff000003QWFTIA4","","","House",""
"a04Ff0000008lkwIAA","005Ff000001F2fFIAS","false","a04Ff0000008lkw","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00682","a00Ff000003QWFdIAO","","","House",""
"a04Ff0000008lkxIAA","005Ff000001F2fFIAS","false","a04Ff0000008lkx","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00683","a00Ff000003QWFeIAO","","","House",""
"a04Ff0000008lkyIAA","005Ff000001F2fFIAS","false","a04Ff0000008lky","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00685","a00Ff000003QWFgIAO","","","House",""
"a04Ff0000008lkzIAA","005Ff000001F2fFIAS","false","a04Ff0000008lkz","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","Site No 142 Bagalagunte VillageYeswanthapura HobliBangalore,","","Property","HOU/DEL/0223/00684","a00Ff000003QWFfIAO","","JAYANAGAR","House",""
"a04Ff0000008ll0IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll0","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","G-102 Sri Meenkashi Aprt Adj Super Car Garage3rd Cross Devegowda Main,","","Property","HOU/DEL/0223/00686","a00Ff000003QWFhIAO","","JAYANAGAR","House",""
"a04Ff0000008ll1IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll1","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00674","a00Ff000003QWFVIA4","","","House",""
"a04Ff0000008ll2IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll2","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF","No.54 Main BhavanChannakeshavanagar  SingasandraBangalore,","","Property","HOU/DEL/0223/00675","a00Ff000003QWFWIA4","","JAYANAGAR","House",""
"a04Ff0000008ll3IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll3","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00673","a00Ff000003QWFUIA4","","","House",""
"a04Ff0000008ll4IAA","005Ff000001F2fFIAS","false","a04Ff0000008ll4","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","005Ff000001F2fFIAS","2023-05-18T12:03:21.000Z","","","NAPF",", , , ,,","","Property","HOU/DEL/0223/00677","a00Ff000003QWFYIA4","","","House",""
